"Version (0 = Fixed Task)","Task","Concept","Att 1 - Panel Efficiency","Att 2 - Panel Visibility","Att 3 - Inverter Type","Att 4 - Failure in First Five Years","Att 5 - Environmental Benefits","Att 6 - Savings in 25 Years"
4,4,3,3,1,3,4,2,3
4,5,1,3,2,2,1,1,1
4,5,2,1,1,3,3,1,3
4,5,3,3,2,1,1,2,1
4,6,1,2,1,3,4,3,4
4,6,2,2,2,3,2,2,5
4,6,3,1,1,1,1,1,5
4,7,1,2,2,1,3,3,4
4,7,2,1,2,2,4,1,2
4,7,3,3,2,2,2,2,2
4,8,1,2,1,3,3,2,3
4,8,2,3,1,1,4,1,5
4,8,3,1,1,2,4,3,5
4,9,1,2,1,1,2,2,1
4,9,2,3,2,2,3,3,2
4,9,3,1,2,3,1,3,3
4,10,1,2,1,2,1,1,5
4,10,2,1,2,3,3,1,4
4,10,3,1,2,1,2,2,5
4,11,1,2,1,2,3,3,2
4,11,2,3,2,3,4,2,1
4,11,3,3,1,1,1,1,3
4,12,1,2,2,3,1,1,4
4,12,2,1,1,1,4,3,5
4,12,3,3,2,2,2,2,4
4,13,1,1,2,1,3,2,2
4,13,2,2,1,3,4,1,1
4,13,3,1,2,2,2,3,3
4,14,1,2,2,2,2,1,5
4,14,2,3,1,1,1,3,5
4,14,3,3,1,3,2,2,3
4,15,1,3,1,2,3,2,1
4,15,2,2,1,1,4,1,3
4,15,3,2,2,3,1,3,1
5,1,1,1,2,3,3,3,2
5,1,2,1,1,1,1,1,4
5,1,3,3,2,2,2,3,4
5,2,1,3,1,1,4,2,2
5,2,2,2,1,2,1,1,1
5,2,3,1,2,3,4,3,1
5,3,1,1,2,1,2,1,3
5,3,2,3,1,2,3,2,4
5,3,3,2,1,3,4,3,2
5,4,1,1,2,2,3,2,5
5,4,2,3,2,1,4,1,3
5,4,3,2,1,3,1,3,5
5,5,1,2,2,2,3,1,5
5,5,2,2,2,1,2,3,4
5,5,3,1,1,3,2,2,3
5,6,1,3,1,3,2,1,2
5,6,2,3,2,2,3,1,1
5,6,3,1,1,3,1,2,1
5,7,1,1,1,1,1,3,4
5,7,2,2,2,2,3,2,4
5,7,3,3,2,1,4,2,2
5,8,1,3,1,2,2,3,3
5,8,2,2,1,1,1,2,2
5,8,3,1,2,3,4,1,3
5,9,1,3,1,3,1,3,3
5,9,2,2,2,1,4,2,4
5,9,3,1,2,2,2,1,5
5,10,1,1,1,2,1,2,2
5,10,2,2,1,1,3,1,1
5,10,3,1,2,3,2,2,1
5,11,1,3,1,2,4,3,4
5,11,2,3,2,3,4,1,5
5,11,3,2,2,1,2,3,5
5,12,1,1,2,2,1,1,3
5,12,2,3,2,1,2,3,1
5,12,3,3,1,3,3,2,2
5,13,1,2,1,2,3,3,1
5,13,2,1,1,1,3,1,2
5,13,3,3,2,3,4,2,1
5,14,1,1,1,1,3,2,3
5,14,2,1,2,2,1,3,5
5,14,3,2,1,3,2,1,4
5,15,1,3,1,3,1,1,5
5,15,2,2,2,1,4,2,4
5,15,3,2,1,2,4,2,5
6,1,1,1,2,3,3,3,2
6,1,2,3,1,2,2,1,2
6,1,3,2,2,2,1,3,3
6,2,1,1,1,1,4,1,4
6,2,2,2,2,3,2,1,2
6,2,3,2,2,2,1,2,3
6,3,1,1,1,2,3,2,1
6,3,2,3,2,1,4,3,1
6,3,3,3,1,3,3,3,3
6,4,1,3,2,1,2,3,4
6,4,2,2,1,3,2,2,5
6,4,3,1,1,2,4,2,5
6,5,1,1,1,1,2,1,2
6,5,2,2,1,1,3,3,3
6,5,3,2,2,3,1,2,4
6,6,1,1,2,3,1,1,1
6,6,2,3,2,1,1,3,2
6,6,3,3,2,2,3,1,1
6,7,1,3,2,3,3,2,4
6,7,2,2,1,2,4,1,4
6,7,3,1,1,1,4,3,2
6,8,1,3,2,1,2,2,5
6,8,2,3,1,3,4,3,5
6,8,3,1,2,2,1,1,3
6,9,1,2,2,1,2,2,2
6,9,2,2,1,2,1,3,1
6,9,3,1,1,1,2,2,3
6,10,1,3,1,3,2,1,4
6,10,2,2,2,2,4,2,5
6,10,3,1,2,3,3,1,5
6,11,1,2,2,3,4,1,3
6,11,2,3,1,2,1,3,1
6,11,3,1,1,1,1,1,2
6,12,1,3,2,2,3,3,2
6,12,2,1,1,3,2,3,1
6,12,3,2,2,1,3,3,1
6,13,1,3,2,1,1,2,4
6,13,2,2,1,2,4,2,3
6,13,3,1,1,3,3,2,4
6,14,1,1,2,2,4,1,4
6,14,2,3,2,3,2,2,4
6,14,3,2,1,1,3,1,5
6,15,1,3,1,1,4,3,3
6,15,2,2,2,2,2,1,2
6,15,3,1,1,3,4,3,1
7,1,1,3,2,2,4,1,3
7,1,2,2,1,3,1,3,1
7,1,3,1,2,1,1,2,2
7,2,1,3,2,3,3,1,4
7,2,2,2,1,1,1,2,5
7,2,3,1,1,2,3,3,5
7,3,1,1,2,1,2,3,4
7,3,2,3,1,3,1,3,3
7,3,3,1,1,2,2,1,2
7,4,1,2,2,1,3,2,1
7,4,2,3,1,2,2,2,1
7,4,3,2,2,2,3,1,2
7,5,1,1,1,2,1,2,5
7,5,2,2,1,1,3,3,3
7,5,3,3,2,3,4,1,5
7,6,1,1,1,1,1,1,4
7,6,2,3,2,3,4,2,5
7,6,3,2,2,3,2,3,3
7,7,1,2,1,3,1,2,3
7,7,2,1,2,2,4,2,1
7,7,3,2,1,1,3,1,2
7,8,1,3,2,1,2,3,2
7,8,2,3,1,3,2,1,1
7,8,3,3,2,2,3,3,3
7,9,1,3,2,2,1,1,4
7,9,2,2,1,2,4,2,4
7,9,3,1,2,3,2,3,5
7,10,1,1,2,3,3,3,3
